datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202108010255,1860217400,AD2500001044,0,8,6,0,2,,,,,,,,
202108010455,1860217400,AD2500001044,4,8,0,1,7,,,,,,,,
202108011335,1860217400,AD2500001044,24,69,69,0,0,,,,,,,,
202108020435,1860217400,AD2500001044,2,17,5,2,10,,,,,,,,
202108020555,1860217400,AD2500001044,4,14,4,4,6,,,,,,,,
202108011235,1860217400,AD2500001044,23,42,42,0,0,,,,,,,,
202108011355,1860217400,AD2500001044,11,37,37,0,0,,,,,,,,
202108020455,1860217400,AD2500001044,0,6,3,2,1,,,,,,,,
202108020615,1860217400,AD2500001044,0,30,5,7,18,82,16,13,53,,,,
202108011255,1860217400,AD2500001044,18,29,29,0,0,,,,,,,,
202108011415,1860217400,AD2500001044,21,64,64,0,0,163,163,0,0,,,,
202108020515,1860217400,AD2500001044,0,6,1,0,5,33,8,3,22,,,,
202108020635,1860217400,AD2500001044,0,30,9,3,18,,,,,,,,
202108011315,1860217400,AD2500001044,13,75,75,0,0,182,182,0,0,,,,
202108011435,1860217400,AD2500001044,28,57,57,0,0,,,,,,,,
202108020535,1860217400,AD2500001044,5,9,3,1,5,,,,,,,,
202108041435,1860217400,AD2500001044,20,94,94,0,0,,,,,,,,
202108041555,1860217400,AD2500001044,14,68,68,0,0,,,,,,,,
202108032235,1860217400,AD2500001044,6,44,18,10,16,,,,,,,,
202108032355,1860217400,AD2500001044,2,10,2,3,5,,,,,,,,
202108041455,1860217400,AD2500001044,17,44,44,0,0,,,,,,,,
202108041615,1860217400,AD2500001044,13,126,126,0,0,337,337,0,0,,,,
202108032255,1860217400,AD2500001044,0,24,4,7,13,,,,,,,,
202108040015,1860217400,AD2500001044,2,28,14,4,10,72,28,14,30,,,,
202108041515,1860217400,AD2500001044,0,100,100,0,0,285,285,0,0,,,,
202108041635,1860217400,AD2500001044,21,128,128,0,0,,,,,,,,
202108032315,1860217400,AD2500001044,6,41,13,9,19,86,26,18,42,,,,
202108040035,1860217400,AD2500001044,0,22,6,7,9,,,,,,,,
202108041535,1860217400,AD2500001044,27,109,109,0,0,,,,,,,,
202108041655,1860217400,AD2500001044,15,89,89,0,0,,,,,,,,
202108032335,1860217400,AD2500001044,3,22,8,5,9,,,,,,,,
202108070055,1860217400,AD2500001044,0,14,4,5,5,,,,,,,,
202108070215,1860217400,AD2500001044,2,13,7,0,6,29,10,5,14,,,,
202108060855,1860217400,AD2500001044,19,10,7,2,1,,,,,,,,
202108061015,1860217400,AD2500001044,15,29,22,4,3,85,72,9,4,,,,
202108070115,1860217400,AD2500001044,2,6,1,2,3,23,4,8,11,,,,
202108070235,1860217400,AD2500001044,0,10,0,4,6,,,,,,,,
202108060915,1860217400,AD2500001044,26,20,16,3,1,62,51,8,3,,,,
202108061035,1860217400,AD2500001044,22,39,39,0,0,,,,,,,,
202108070135,1860217400,AD2500001044,0,12,3,4,5,,,,,,,,
202108070255,1860217400,AD2500001044,0,7,3,2,2,,,,,,,,
202108060935,1860217400,AD2500001044,29,23,20,0,3,,,,,,,,
202108061055,1860217400,AD2500001044,24,23,23,0,0,,,,,,,,
202108070155,1860217400,AD2500001044,0,6,2,1,3,,,,,,,,
202108070315,1860217400,AD2500001044,0,7,3,2,2,21,5,2,14,,,,
202108060955,1860217400,AD2500001044,16,22,17,5,0,,,,,,,,
202108211815,1860217400,AD2500001044,18,67,67,0,0,176,176,0,0,,,,
202108160855,1860217400,AD2500001044,18,33,22,5,6,,,,,,,,
202108220415,1860217400,AD2500001044,0,11,5,0,6,29,12,5,12,,,,
202108161855,1860217400,AD2500001044,3,79,79,0,0,,,,,,,,
202108211835,1860217400,AD2500001044,31,54,54,0,0,,,,,,,,
202108160915,1860217400,AD2500001044,11,54,41,7,6,142,105,26,11,,,,
202108220435,1860217400,AD2500001044,4,14,2,4,8,,,,,,,,
202108161915,1860217400,AD2500001044,27,113,113,0,0,269,269,0,0,,,,
202108211855,1860217400,AD2500001044,6,42,42,0,0,,,,,,,,
202108160935,1860217400,AD2500001044,11,59,40,12,7,,,,,,,,
202108220455,1860217400,AD2500001044,0,8,0,1,7,,,,,,,,
202108161935,1860217400,AD2500001044,9,77,77,0,0,,,,,,,,
202108211915,1860217400,AD2500001044,16,64,64,0,0,132,132,0,0,,,,
202108160955,1860217400,AD2500001044,16,31,22,9,0,,,,,,,,
202108220515,1860217400,AD2500001044,6,18,3,7,8,31,6,11,14,,,,
202108161955,1860217400,AD2500001044,2,79,38,17,24,,,,,,,,
